,From,To,Value
0,central_aws,central_aws,1.0
1,frankfurt_aws,central_aws,0.4266
2,frankfurt_google,central_aws,0.0
3,ireland_aws,central_aws,0.4508
4,london_aws,central_aws,0.4372
5,london_google,central_aws,0.0
6,mumbai_aws,central_aws,0.2742
7,mumbai_google,central_aws,0.0
8,northcalifornia_aws,central_aws,0.4558
9,northvirginia_aws,central_aws,0.0
10,northvirginia_google,central_aws,0.0
11,ohio_aws,central_aws,0.5672
12,oregon_aws,central_aws,0.0
13,oregon_google,central_aws,0.0
14,paris_aws,central_aws,0.4246
15,saopaulo_aws,central_aws,0.0
16,saopaulo_google,central_aws,0.0
17,seoul_aws,central_aws,0.3022
18,singapore_aws,central_aws,0.0
19,singapore_google,central_aws,0.0
20,sydney_aws,central_aws,0.0
21,sydney_google,central_aws,0.0
22,tokyo_aws,central_aws,0.0
23,tokyo_google,central_aws,0.0
24,central_aws,frankfurt_aws,0.4151
25,frankfurt_aws,frankfurt_aws,1.0
26,frankfurt_google,frankfurt_aws,0.814
27,ireland_aws,frankfurt_aws,0.5834
28,london_aws,frankfurt_aws,0.655
29,london_google,frankfurt_aws,0.5166
30,mumbai_aws,frankfurt_aws,0.3951
31,mumbai_google,frankfurt_aws,0.0569
32,northcalifornia_aws,frankfurt_aws,0.3475
33,northvirginia_aws,frankfurt_aws,0.4508
34,northvirginia_google,frankfurt_aws,0.3969
35,ohio_aws,frankfurt_aws,0.4164
36,oregon_aws,frankfurt_aws,0.3358
37,oregon_google,frankfurt_aws,0.324
38,paris_aws,frankfurt_aws,0.6652
39,saopaulo_aws,frankfurt_aws,0.2199
40,saopaulo_google,frankfurt_aws,0.2325
41,seoul_aws,frankfurt_aws,0.1822
42,singapore_aws,frankfurt_aws,0.3204
43,singapore_google,frankfurt_aws,0.1414
44,sydney_aws,frankfurt_aws,0.1599
45,sydney_google,frankfurt_aws,0.1634
46,tokyo_aws,frankfurt_aws,0.204
47,tokyo_google,frankfurt_aws,0.2106
48,central_aws,frankfurt_google,0.0
49,frankfurt_aws,frankfurt_google,0.9096
50,frankfurt_google,frankfurt_google,1.0
51,ireland_aws,frankfurt_google,0.0
52,london_aws,frankfurt_google,0.6205
53,london_google,frankfurt_google,0.5426
54,mumbai_aws,frankfurt_google,0.2198
55,mumbai_google,frankfurt_google,0.0772
56,northcalifornia_aws,frankfurt_google,0.0
57,northvirginia_aws,frankfurt_google,0.4358
58,northvirginia_google,frankfurt_google,0.4063
59,ohio_aws,frankfurt_google,0.0
60,oregon_aws,frankfurt_google,0.3579
61,oregon_google,frankfurt_google,0.3524
62,paris_aws,frankfurt_google,0.0
63,saopaulo_aws,frankfurt_google,0.2476
64,saopaulo_google,frankfurt_google,0.2536
65,seoul_aws,frankfurt_google,0.0
66,singapore_aws,frankfurt_google,0.146
67,singapore_google,frankfurt_google,0.143
68,sydney_aws,frankfurt_google,0.1724
69,sydney_google,frankfurt_google,0.1506
70,tokyo_aws,frankfurt_google,0.235
71,tokyo_google,frankfurt_google,0.2374
72,central_aws,ireland_aws,0.4486
73,frankfurt_aws,ireland_aws,0.6227
74,frankfurt_google,ireland_aws,0.0
75,ireland_aws,ireland_aws,1.0
76,london_aws,ireland_aws,0.7478
77,london_google,ireland_aws,0.0
78,mumbai_aws,ireland_aws,0.38
79,mumbai_google,ireland_aws,0.0
80,northcalifornia_aws,ireland_aws,0.3469
81,northvirginia_aws,ireland_aws,0.0
82,northvirginia_google,ireland_aws,0.0
83,ohio_aws,ireland_aws,0.4498
84,oregon_aws,ireland_aws,0.0
85,oregon_google,ireland_aws,0.0
86,paris_aws,ireland_aws,0.6064
87,saopaulo_aws,ireland_aws,0.0
88,saopaulo_google,ireland_aws,0.0
89,seoul_aws,ireland_aws,0.2022
90,singapore_aws,ireland_aws,0.0
91,singapore_google,ireland_aws,0.0
92,sydney_aws,ireland_aws,0.0
93,sydney_google,ireland_aws,0.0
94,tokyo_aws,ireland_aws,0.0
95,tokyo_google,ireland_aws,0.0
96,central_aws,london_aws,0.3986
97,frankfurt_aws,london_aws,0.6694
98,frankfurt_google,london_aws,0.5994
99,ireland_aws,london_aws,0.5836
100,london_aws,london_aws,1.0
101,london_google,london_aws,0.9433
102,mumbai_aws,london_aws,0.391
103,mumbai_google,london_aws,0.073
104,northcalifornia_aws,london_aws,0.3638
105,northvirginia_aws,london_aws,0.494
106,northvirginia_google,london_aws,0.4412
107,ohio_aws,london_aws,0.4386
108,oregon_aws,london_aws,0.3292
109,oregon_google,london_aws,0.3469
110,paris_aws,london_aws,0.7093
111,saopaulo_aws,london_aws,0.232
112,saopaulo_google,london_aws,0.2491
113,seoul_aws,london_aws,0.1879
114,singapore_aws,london_aws,0.3259
115,singapore_google,london_aws,0.1353
116,sydney_aws,london_aws,0.166
117,sydney_google,london_aws,0.1672
118,tokyo_aws,london_aws,0.2326
119,tokyo_google,london_aws,0.236
120,central_aws,london_google,0.0
121,frankfurt_aws,london_google,0.6053
122,frankfurt_google,london_google,0.8098
123,ireland_aws,london_google,0.0
124,london_aws,london_google,0.9988
125,london_google,london_google,1.0
126,mumbai_aws,london_google,0.222
127,mumbai_google,london_google,0.0912
128,northcalifornia_aws,london_google,0.0
129,northvirginia_aws,london_google,0.4666
130,northvirginia_google,london_google,0.4282
131,ohio_aws,london_google,0.0
132,oregon_aws,london_google,0.3694
133,oregon_google,london_google,0.3545
134,paris_aws,london_google,0.0
135,saopaulo_aws,london_google,0.2597
136,saopaulo_google,london_google,0.2822
137,seoul_aws,london_google,0.0
138,singapore_aws,london_google,0.1592
139,singapore_google,london_google,0.1724
140,sydney_aws,london_google,0.1854
141,sydney_google,london_google,0.1704
142,tokyo_aws,london_google,0.25
143,tokyo_google,london_google,0.2655
144,central_aws,mumbai_aws,0.2769
145,frankfurt_aws,mumbai_aws,0.3891
146,frankfurt_google,mumbai_aws,0.2038
147,ireland_aws,mumbai_aws,0.3752
148,london_aws,mumbai_aws,0.3836
149,london_google,mumbai_aws,0.2038
150,mumbai_aws,mumbai_aws,1.0
151,mumbai_google,mumbai_aws,0.9186
152,northcalifornia_aws,mumbai_aws,0.2098
153,northvirginia_aws,mumbai_aws,0.2874
154,northvirginia_google,mumbai_aws,0.2021
155,ohio_aws,mumbai_aws,0.271
156,oregon_aws,mumbai_aws,0.24
157,oregon_google,mumbai_aws,0.2044
158,paris_aws,mumbai_aws,0.3863
159,saopaulo_aws,mumbai_aws,0.0908
160,saopaulo_google,mumbai_aws,0.0455
161,seoul_aws,mumbai_aws,0.3352
162,singapore_aws,mumbai_aws,0.4717
163,singapore_google,mumbai_aws,0.4817
164,sydney_aws,mumbai_aws,0.1938
165,sydney_google,mumbai_aws,0.3116
166,tokyo_aws,mumbai_aws,0.3622
167,tokyo_google,mumbai_aws,0.3732
168,central_aws,mumbai_google,0.0
169,frankfurt_aws,mumbai_google,0.0759
170,frankfurt_google,mumbai_google,0.0676
171,ireland_aws,mumbai_google,0.0
172,london_aws,mumbai_google,0.0829
173,london_google,mumbai_google,0.0892
174,mumbai_aws,mumbai_google,0.9528
175,mumbai_google,mumbai_google,1.0
176,northcalifornia_aws,mumbai_google,0.0
177,northvirginia_aws,mumbai_google,0.1746
178,northvirginia_google,mumbai_google,0.1863
179,ohio_aws,mumbai_google,0.0
180,oregon_aws,mumbai_google,0.2447
181,oregon_google,mumbai_google,0.2579
182,paris_aws,mumbai_google,0.0
183,saopaulo_aws,mumbai_google,0.0283
184,saopaulo_google,mumbai_google,0.0328
185,seoul_aws,mumbai_google,0.0
186,singapore_aws,mumbai_google,0.4776
187,singapore_google,mumbai_google,0.4808
188,sydney_aws,mumbai_google,0.3494
189,sydney_google,mumbai_google,0.3306
190,tokyo_aws,mumbai_google,0.3653
191,tokyo_google,mumbai_google,0.372
192,central_aws,northcalifornia_aws,0.4286
193,frankfurt_aws,northcalifornia_aws,0.3361
194,frankfurt_google,northcalifornia_aws,0.0
195,ireland_aws,northcalifornia_aws,0.3378
196,london_aws,northcalifornia_aws,0.3479
197,london_google,northcalifornia_aws,0.0
198,mumbai_aws,northcalifornia_aws,0.205
199,mumbai_google,northcalifornia_aws,0.0
200,northcalifornia_aws,northcalifornia_aws,1.0
201,northvirginia_aws,northcalifornia_aws,0.0
202,northvirginia_google,northcalifornia_aws,0.0
203,ohio_aws,northcalifornia_aws,0.4616
204,oregon_aws,northcalifornia_aws,0.0
205,oregon_google,northcalifornia_aws,0.0
206,paris_aws,northcalifornia_aws,0.3422
207,saopaulo_aws,northcalifornia_aws,0.0
208,saopaulo_google,northcalifornia_aws,0.0
209,seoul_aws,northcalifornia_aws,0.3515
210,singapore_aws,northcalifornia_aws,0.0
211,singapore_google,northcalifornia_aws,0.0
212,sydney_aws,northcalifornia_aws,0.0
213,sydney_google,northcalifornia_aws,0.0
214,tokyo_aws,northcalifornia_aws,0.0
215,tokyo_google,northcalifornia_aws,0.0
216,central_aws,northvirginia_aws,0.6295
217,frankfurt_aws,northvirginia_aws,0.4606
218,frankfurt_google,northvirginia_aws,0.4174
219,ireland_aws,northvirginia_aws,0.4298
220,london_aws,northvirginia_aws,0.4674
221,london_google,northvirginia_aws,0.4402
222,mumbai_aws,northvirginia_aws,0.2954
223,mumbai_google,northvirginia_aws,0.1574
224,northcalifornia_aws,northvirginia_aws,0.4918
225,northvirginia_aws,northvirginia_aws,1.0
226,northvirginia_google,northvirginia_aws,0.8862
227,ohio_aws,northvirginia_aws,0.6334
228,oregon_aws,northvirginia_aws,0.4587
229,oregon_google,northvirginia_aws,0.4602
230,paris_aws,northvirginia_aws,0.4604
231,saopaulo_aws,northvirginia_aws,0.3658
232,saopaulo_google,northvirginia_aws,0.3584
233,seoul_aws,northvirginia_aws,0.3062
234,singapore_aws,northvirginia_aws,0.228
235,singapore_google,northvirginia_aws,0.24
236,sydney_aws,northvirginia_aws,0.2734
237,sydney_google,northvirginia_aws,0.258
238,tokyo_aws,northvirginia_aws,0.3296
239,tokyo_google,northvirginia_aws,0.3306
240,central_aws,northvirginia_google,0.0
241,frankfurt_aws,northvirginia_google,0.4343
242,frankfurt_google,northvirginia_google,0.4246
243,ireland_aws,northvirginia_google,0.0
244,london_aws,northvirginia_google,0.4506
245,london_google,northvirginia_google,0.446
246,mumbai_aws,northvirginia_google,0.2204
247,mumbai_google,northvirginia_google,0.1868
248,northcalifornia_aws,northvirginia_google,0.0
249,northvirginia_aws,northvirginia_google,0.9522
250,northvirginia_google,northvirginia_google,1.0
251,ohio_aws,northvirginia_google,0.0
252,oregon_aws,northvirginia_google,0.4938
253,oregon_google,northvirginia_google,0.4562
254,paris_aws,northvirginia_google,0.0
255,saopaulo_aws,northvirginia_google,0.366
256,saopaulo_google,northvirginia_google,0.4064
257,seoul_aws,northvirginia_google,0.0
258,singapore_aws,northvirginia_google,0.2556
259,singapore_google,northvirginia_google,0.2745
260,sydney_aws,northvirginia_google,0.2828
261,sydney_google,northvirginia_google,0.2725
262,tokyo_aws,northvirginia_google,0.3394
263,tokyo_google,northvirginia_google,0.371
264,central_aws,ohio_aws,0.574
265,frankfurt_aws,ohio_aws,0.4404
266,frankfurt_google,ohio_aws,0.0
267,ireland_aws,ohio_aws,0.4608
268,london_aws,ohio_aws,0.4544
269,london_google,ohio_aws,0.0
270,mumbai_aws,ohio_aws,0.2841
271,mumbai_google,ohio_aws,0.0
272,northcalifornia_aws,ohio_aws,0.5184
273,northvirginia_aws,ohio_aws,0.0
274,northvirginia_google,ohio_aws,0.0
275,ohio_aws,ohio_aws,1.0
276,oregon_aws,ohio_aws,0.0
277,oregon_google,ohio_aws,0.0
278,paris_aws,ohio_aws,0.4351
279,saopaulo_aws,ohio_aws,0.0
280,saopaulo_google,ohio_aws,0.0
281,seoul_aws,ohio_aws,0.3019
282,singapore_aws,ohio_aws,0.0
283,singapore_google,ohio_aws,0.0
284,sydney_aws,ohio_aws,0.0
285,sydney_google,ohio_aws,0.0
286,tokyo_aws,ohio_aws,0.0
287,tokyo_google,ohio_aws,0.0
288,central_aws,oregon_aws,0.4742
289,frankfurt_aws,oregon_aws,0.3303
290,frankfurt_google,oregon_aws,0.3326
291,ireland_aws,oregon_aws,0.3843
292,london_aws,oregon_aws,0.3667
293,london_google,oregon_aws,0.348
294,mumbai_aws,oregon_aws,0.2412
295,mumbai_google,oregon_aws,0.2256
296,northcalifornia_aws,oregon_aws,0.5968
297,northvirginia_aws,oregon_aws,0.458
298,northvirginia_google,oregon_aws,0.4656
299,ohio_aws,oregon_aws,0.4648
300,oregon_aws,oregon_aws,1.0
301,oregon_google,oregon_aws,0.595
302,paris_aws,oregon_aws,0.3361
303,saopaulo_aws,oregon_aws,0.2901
304,saopaulo_google,oregon_aws,0.2727
305,seoul_aws,oregon_aws,0.3801
306,singapore_aws,oregon_aws,0.3255
307,singapore_google,oregon_aws,0.3114
308,sydney_aws,oregon_aws,0.3684
309,sydney_google,oregon_aws,0.3
310,tokyo_aws,oregon_aws,0.3904
311,tokyo_google,oregon_aws,0.3992
312,central_aws,oregon_google,0.0
313,frankfurt_aws,oregon_google,0.3475
314,frankfurt_google,oregon_google,0.3586
315,ireland_aws,oregon_google,0.0
316,london_aws,oregon_google,0.3683
317,london_google,oregon_google,0.3688
318,mumbai_aws,oregon_google,0.2221
319,mumbai_google,oregon_google,0.2762
320,northcalifornia_aws,oregon_google,0.0
321,northvirginia_aws,oregon_google,0.4878
322,northvirginia_google,oregon_google,0.5142
323,ohio_aws,oregon_google,0.0
324,oregon_aws,oregon_google,0.6598
325,oregon_google,oregon_google,1.0
326,paris_aws,oregon_google,0.0
327,saopaulo_aws,oregon_google,0.3063
328,saopaulo_google,oregon_google,0.3342
329,seoul_aws,oregon_google,0.0
330,singapore_aws,oregon_google,0.3352
331,singapore_google,oregon_google,0.3688
332,sydney_aws,oregon_google,0.3259
333,sydney_google,oregon_google,0.3374
334,tokyo_aws,oregon_google,0.4266
335,tokyo_google,oregon_google,0.467
336,central_aws,paris_aws,0.4292
337,frankfurt_aws,paris_aws,0.6708
338,frankfurt_google,paris_aws,0.0
339,ireland_aws,paris_aws,0.5272
340,london_aws,paris_aws,0.7122
341,london_google,paris_aws,0.0
342,mumbai_aws,paris_aws,0.4082
343,mumbai_google,paris_aws,0.0
344,northcalifornia_aws,paris_aws,0.3695
345,northvirginia_aws,paris_aws,0.0
346,northvirginia_google,paris_aws,0.0
347,ohio_aws,paris_aws,0.4484
348,oregon_aws,paris_aws,0.0
349,oregon_google,paris_aws,0.0
350,paris_aws,paris_aws,1.0
351,saopaulo_aws,paris_aws,0.0
352,saopaulo_google,paris_aws,0.0
353,seoul_aws,paris_aws,0.2014
354,singapore_aws,paris_aws,0.0
355,singapore_google,paris_aws,0.0
356,sydney_aws,paris_aws,0.0
357,sydney_google,paris_aws,0.0
358,tokyo_aws,paris_aws,0.0
359,tokyo_google,paris_aws,0.0
360,central_aws,saopaulo_aws,0.3835
361,frankfurt_aws,saopaulo_aws,0.2424
362,frankfurt_google,saopaulo_aws,0.2268
363,ireland_aws,saopaulo_aws,0.2977
364,london_aws,saopaulo_aws,0.2568
365,london_google,saopaulo_aws,0.2428
366,mumbai_aws,saopaulo_aws,0.1106
367,mumbai_google,saopaulo_aws,0.0154
368,northcalifornia_aws,saopaulo_aws,0.2769
369,northvirginia_aws,saopaulo_aws,0.3658
370,northvirginia_google,saopaulo_aws,0.34
371,ohio_aws,saopaulo_aws,0.3431
372,oregon_aws,saopaulo_aws,0.3022
373,oregon_google,saopaulo_aws,0.2858
374,paris_aws,saopaulo_aws,0.2508
375,saopaulo_aws,saopaulo_aws,1.0
376,saopaulo_google,saopaulo_aws,0.6844
377,seoul_aws,saopaulo_aws,0.15
378,singapore_aws,saopaulo_aws,0.1034
379,singapore_google,saopaulo_aws,0.0912
380,sydney_aws,saopaulo_aws,0.1132
381,sydney_google,saopaulo_aws,0.1119
382,tokyo_aws,saopaulo_aws,0.1599
383,tokyo_google,saopaulo_aws,0.1712
384,central_aws,saopaulo_google,0.0
385,frankfurt_aws,saopaulo_google,0.2441
386,frankfurt_google,saopaulo_google,0.2296
387,ireland_aws,saopaulo_google,0.0
388,london_aws,saopaulo_google,0.267
389,london_google,saopaulo_google,0.2458
390,mumbai_aws,saopaulo_google,0.0588
391,mumbai_google,saopaulo_google,0.0142
392,northcalifornia_aws,saopaulo_google,0.0
393,northvirginia_aws,saopaulo_google,0.3714
394,northvirginia_google,saopaulo_google,0.3416
395,ohio_aws,saopaulo_google,0.0
396,oregon_aws,saopaulo_google,0.2944
397,oregon_google,saopaulo_google,0.2857
398,paris_aws,saopaulo_google,0.0
399,saopaulo_aws,saopaulo_google,0.9016
400,saopaulo_google,saopaulo_google,1.0
401,seoul_aws,saopaulo_google,0.0
402,singapore_aws,saopaulo_google,0.1031
403,singapore_google,saopaulo_google,0.09
404,sydney_aws,saopaulo_google,0.131
405,sydney_google,saopaulo_google,0.1108
406,tokyo_aws,saopaulo_google,0.1968
407,tokyo_google,saopaulo_google,0.1725
408,central_aws,seoul_aws,0.2987
409,frankfurt_aws,seoul_aws,0.1932
410,frankfurt_google,seoul_aws,0.0
411,ireland_aws,seoul_aws,0.1955
412,london_aws,seoul_aws,0.1904
413,london_google,seoul_aws,0.0
414,mumbai_aws,seoul_aws,0.3388
415,mumbai_google,seoul_aws,0.0
416,northcalifornia_aws,seoul_aws,0.3618
417,northvirginia_aws,seoul_aws,0.0
418,northvirginia_google,seoul_aws,0.0
419,ohio_aws,seoul_aws,0.2886
420,oregon_aws,seoul_aws,0.0
421,oregon_google,seoul_aws,0.0
422,paris_aws,seoul_aws,0.1984
423,saopaulo_aws,seoul_aws,0.0
424,saopaulo_google,seoul_aws,0.0
425,seoul_aws,seoul_aws,1.0
426,singapore_aws,seoul_aws,0.0
427,singapore_google,seoul_aws,0.0
428,sydney_aws,seoul_aws,0.0
429,sydney_google,seoul_aws,0.0
430,tokyo_aws,seoul_aws,0.0
431,tokyo_google,seoul_aws,0.0
432,central_aws,singapore_aws,0.2504
433,frankfurt_aws,singapore_aws,0.3299
434,frankfurt_google,singapore_aws,0.1416
435,ireland_aws,singapore_aws,0.3098
436,london_aws,singapore_aws,0.3316
437,london_google,singapore_aws,0.1587
438,mumbai_aws,singapore_aws,0.483
439,mumbai_google,singapore_aws,0.4843
440,northcalifornia_aws,singapore_aws,0.3119
441,northvirginia_aws,singapore_aws,0.2236
442,northvirginia_google,singapore_aws,0.248
443,ohio_aws,singapore_aws,0.2411
444,oregon_aws,singapore_aws,0.3253
445,oregon_google,singapore_aws,0.3359
446,paris_aws,singapore_aws,0.3228
447,saopaulo_aws,singapore_aws,0.103
448,saopaulo_google,singapore_aws,0.0984
449,seoul_aws,singapore_aws,0.4267
450,singapore_aws,singapore_aws,1.0
451,singapore_google,singapore_aws,0.7522
452,sydney_aws,singapore_aws,0.2896
453,sydney_google,singapore_aws,0.4346
454,tokyo_aws,singapore_aws,0.4716
455,tokyo_google,singapore_aws,0.4784
456,central_aws,singapore_google,0.0
457,frankfurt_aws,singapore_google,0.1388
458,frankfurt_google,singapore_google,0.1572
459,ireland_aws,singapore_google,0.0
460,london_aws,singapore_google,0.169
461,london_google,singapore_google,0.173
462,mumbai_aws,singapore_google,0.4674
463,mumbai_google,singapore_google,0.4852
464,northcalifornia_aws,singapore_google,0.0
465,northvirginia_aws,singapore_google,0.2648
466,northvirginia_google,singapore_google,0.2738
467,ohio_aws,singapore_google,0.0
468,oregon_aws,singapore_google,0.3332
469,oregon_google,singapore_google,0.3526
470,paris_aws,singapore_google,0.0
471,saopaulo_aws,singapore_google,0.1068
472,saopaulo_google,singapore_google,0.1098
473,seoul_aws,singapore_google,0.0
474,singapore_aws,singapore_google,0.9044
475,singapore_google,singapore_google,1.0
476,sydney_aws,singapore_google,0.427
477,sydney_google,singapore_google,0.4454
478,tokyo_aws,singapore_google,0.4642
479,tokyo_google,singapore_google,0.5142
480,central_aws,sydney_aws,0.2618
481,frankfurt_aws,sydney_aws,0.1598
482,frankfurt_google,sydney_aws,0.1466
483,ireland_aws,sydney_aws,0.1774
484,london_aws,sydney_aws,0.166
485,london_google,sydney_aws,0.161
486,mumbai_aws,sydney_aws,0.2008
487,mumbai_google,sydney_aws,0.3114
488,northcalifornia_aws,sydney_aws,0.3456
489,northvirginia_aws,sydney_aws,0.269
490,northvirginia_google,sydney_aws,0.253
491,ohio_aws,sydney_aws,0.276
492,oregon_aws,sydney_aws,0.3656
493,oregon_google,sydney_aws,0.3
494,paris_aws,sydney_aws,0.1733
495,saopaulo_aws,sydney_aws,0.075
496,saopaulo_google,sydney_aws,0.1118
497,seoul_aws,sydney_aws,0.3403
498,singapore_aws,sydney_aws,0.2988
499,singapore_google,sydney_aws,0.3917
500,sydney_aws,sydney_aws,1.0
501,sydney_google,sydney_aws,0.6664
502,tokyo_aws,sydney_aws,0.385
503,tokyo_google,sydney_aws,0.3614
504,central_aws,sydney_google,0.0
505,frankfurt_aws,sydney_google,0.1646
506,frankfurt_google,sydney_google,0.1733
507,ireland_aws,sydney_google,0.0
508,london_aws,sydney_google,0.1862
509,london_google,sydney_google,0.1927
510,mumbai_aws,sydney_google,0.323
511,mumbai_google,sydney_google,0.3688
512,northcalifornia_aws,sydney_google,0.0
513,northvirginia_aws,sydney_google,0.2847
514,northvirginia_google,sydney_google,0.2964
515,ohio_aws,sydney_google,0.0
516,oregon_aws,sydney_google,0.3213
517,oregon_google,sydney_google,0.3462
518,paris_aws,sydney_google,0.0
519,saopaulo_aws,sydney_google,0.1306
520,saopaulo_google,sydney_google,0.1377
521,seoul_aws,sydney_google,0.0
522,singapore_aws,sydney_google,0.4126
523,singapore_google,sydney_google,0.4874
524,sydney_aws,sydney_google,0.9674
525,sydney_google,sydney_google,1.0
526,tokyo_aws,sydney_google,0.4027
527,tokyo_google,sydney_google,0.4382
528,central_aws,tokyo_aws,0.3349
529,frankfurt_aws,tokyo_aws,0.2187
530,frankfurt_google,tokyo_aws,0.2068
531,ireland_aws,tokyo_aws,0.2447
532,london_aws,tokyo_aws,0.2328
533,london_google,tokyo_aws,0.2204
534,mumbai_aws,tokyo_aws,0.3584
535,mumbai_google,tokyo_aws,0.3406
536,northcalifornia_aws,tokyo_aws,0.4026
537,northvirginia_aws,tokyo_aws,0.3282
538,northvirginia_google,tokyo_aws,0.3117
539,ohio_aws,tokyo_aws,0.3284
540,oregon_aws,tokyo_aws,0.4292
541,oregon_google,tokyo_aws,0.3947
542,paris_aws,tokyo_aws,0.2283
543,saopaulo_aws,tokyo_aws,0.1694
544,saopaulo_google,tokyo_aws,0.1662
545,seoul_aws,tokyo_aws,0.5978
546,singapore_aws,tokyo_aws,0.4618
547,singapore_google,tokyo_aws,0.4212
548,sydney_aws,tokyo_aws,0.3742
549,sydney_google,tokyo_aws,0.368
550,tokyo_aws,tokyo_aws,1.0
551,tokyo_google,tokyo_aws,0.6346
552,central_aws,tokyo_google,0.0
553,frankfurt_aws,tokyo_google,0.2127
554,frankfurt_google,tokyo_google,0.2424
555,ireland_aws,tokyo_google,0.0
556,london_aws,tokyo_google,0.253
557,london_google,tokyo_google,0.2418
558,mumbai_aws,tokyo_google,0.3698
559,mumbai_google,tokyo_google,0.365
560,northcalifornia_aws,tokyo_google,0.0
561,northvirginia_aws,tokyo_google,0.3429
562,northvirginia_google,tokyo_google,0.3726
563,ohio_aws,tokyo_google,0.0
564,oregon_aws,tokyo_google,0.4185
565,oregon_google,tokyo_google,0.4046
566,paris_aws,tokyo_google,0.0
567,saopaulo_aws,tokyo_google,0.1863
568,saopaulo_google,tokyo_google,0.1918
569,seoul_aws,tokyo_google,0.0
570,singapore_aws,tokyo_google,0.4579
571,singapore_google,tokyo_google,0.4476
572,sydney_aws,tokyo_google,0.3972
573,sydney_google,tokyo_google,0.3688
574,tokyo_aws,tokyo_google,0.7992
575,tokyo_google,tokyo_google,1.0
